Arimura	Chie Arimura
Tahrir Square	Tahrir Square, Alexandria
Wael Ghonim	Wael Ghonim
Steinhubl	Mark Steinhubl
Holmes	JB Holmes
Thiesfeld	Lindsey Thiesfeld
Ghonim	Wael Ghonim
Siegel	Eliot Siegel
Ms. Stewart	Elizabeth Stewart
Johnson	Mitchell Johnson
Khaled	Khaled Kamel
Knopf	Ginny Knopf
Van Winkle	Old Rip Van Winkle
Perplexus	Perplexus
Apollo	Apollo 18
Aldawsari	Khalid Aldawsari
Mizioch	Peter John Mizioch
Kamel	Khaled Kamel
Demonstrators	Demonstrator
Duann	Jennifer Duann
Raquel	Raquel Maldonado
Howard	Hersha Howard
Mr. Stein	Lorin Stein
Holmes	J.B. Holmes
